Song,Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy
Track 14728,EchoSync,689815326,796199,Trap,2021,81,8,0.2,17,0.11,0.59,0.6
Track 21319,The Midnight Howl,457954557,2426710,Electronic,2018,44,99,0.51,30,0.61,0.25,0.71
Track 22152,Retro Resonance,217316865,1639915,Reggae,1992,57,12,0.36,11,0.43,0.58,0.2
Track 80217,Urban Rhapsody,312747634,3614532,Pop,2000,21,50,0.89,44,0.18,0.04,0.63
Track 77204,Sofia Carter,726442597,1028518,Blues,2001,97,9,-0.62,71,0.82,0.59,0.61
Track 70018,ElectroPulse,581795174,3849348,Latin,2025,76,34,0.42,15,0.53,0.17,0.33
Track 1413,Firefly Symphony,292322745,4873492,Synthwave,1991,70,12,-0.61,87,0.31,0.21,0.25
Track 53360,Urban Rhapsody,733665983,1185813,Techno,2014,9,1,0.87,35,0.56,0.92,0.46
Track 78739,Samantha Lee,651134032,410722,EDM,2007,76,87,-0.25,68,0.18,0.03,0.86
Track 43458,Neon Vortex,228493924,110812,Pop,2025,16,88,-0.82,82,0.15,0.75,0.56
Track 66547,Liam Harper,95086731,2960964,Trap,2022,90,97,0.24,66,0.53,0.56,0.14
Track 98770,Neon Vortex,371734936,865902,Pop,1996,55,51,-0.46,56,0.8,0.66,0.52
Track 43875,ElectroPulse,2238439,2917780,Jazz,2018,55,85,-0.34,16,0.17,0.37,0.88
Track 70264,Jay Zenith,230224645,107907,Punk,2021,48,80,0.86,25,0.16,0.37,0.65
Track 19163,The Midnight Howl,434852140,4936043,Rock,2002,86,41,0.11,12,0.34,0.13,0.31
Track 69222,Shadow Beats,587150414,3680451,Electronic,2018,25,65,0.27,73,0.86,1.0,0.73
Track 45786,Firefly Symphony,578292350,295113,Rock,2013,51,52,0.12,82,0.39,0.34,0.5
Track 72268,Neon Vortex,757434951,1637124,House,2001,35,18,-0.04,77,0.94,0.35,0.58
Track 56939,Samantha Lee,722081056,2944701,Folk,1992,85,32,-0.3,10,0.43,0.77,0.58
Track 46468,Shadow Beats,792469605,190477,Hip-Hop,2021,57,58,-0.6,54,0.39,0.35,0.99
Track 64801,Bass Surge,306463103,3153746,Trap,2024,72,78,0.22,75,0.74,0.61,0.93
Track 76288,Samantha Lee,190201915,2111566,Rock,2020,51,41,0.74,38,0.24,0.7,0.52
Track 59106,ElectroPulse,577115131,2095468,Hip-Hop,2007,34,60,-0.79,47,0.48,0.99,0.89
Track 44313,Aurora Soundwave,308977444,1684031,Country,2012,35,3,-0.24,10,0.84,0.03,0.35
Track 12017,DJ Thunder,240456959,1664114,Country,2023,70,35,0.82,4,0.82,0.01,0.71
Track 45367,Neon Vortex,134520428,4795581,Synthwave,1994,14,49,-0.87,47,0.92,0.92,0.63
Track 66425,ElectroPulse,530356705,3623770,Lo-Fi,1990,89,50,0.27,78,0.54,0.37,0.61
Track 39884,Jay Zenith,657422901,1580499,Reggae,2010,18,27,-0.16,32,0.33,0.14,0.78
Track 36234,Urban Rhapsody,641699919,4853080,Pop,2001,56,45,0.18,61,0.4,0.76,0.98
Track 97897,Sofia Carter,451921318,938475,Reggae,1991,72,53,-0.64,26,0.76,0.73,1.0
Track 49727,Horizon Flow,209005746,3526352,Metal,2011,85,37,0.08,70,0.9,0.12,0.14
Track 76145,EchoSync,721673826,3012331,Pop,2003,83,2,-0.53,21,0.39,0.16,0.83
Track 95783,Neon Vortex,138740783,3678095,Techno,2000,10,83,-0.33,42,0.29,0.48,0.87
Track 3755,Neon Vortex,439380841,1403641,Techno,2013,35,92,0.86,41,0.83,0.61,0.98
Track 16289,Samantha Lee,413657674,900359,Latin,1994,60,2,0.81,10,0.32,0.64,0.2
Track 95500,ElectroPulse,750438463,980269,Lo-Fi,1998,77,58,-0.39,47,0.17,0.84,0.92
Track 91402,Horizon Flow,202480088,191022,Lo-Fi,1997,49,46,0.92,96,0.23,0.47,0.28
Track 16141,Aurora Soundwave,382564067,3008758,K-Pop,1992,58,95,0.9,86,0.79,0.52,0.89
Track 1166,The Midnight Howl,567672358,911654,Folk,2025,6,11,0.25,61,0.82,0.34,0.73
Track 7095,Retro Resonance,630487421,2765118,Reggae,2003,33,64,0.69,27,0.7,0.51,0.22
Track 63739,ElectroPulse,53899930,3608257,Metal,2020,100,9,0.58,89,0.23,0.8,0.8
Track 40050,Ava & The Ocean,268701498,4640127,Latin,1992,68,68,0.08,74,0.3,0.18,0.82
Track 65475,Jay Zenith,99316571,442004,Rock,2015,16,29,-0.95,34,0.94,0.08,0.36
Track 15779,Jay Zenith,191549391,2865848,Folk,2010,8,79,0.17,67,0.53,0.18,0.99
Track 38992,Samantha Lee,605568831,2665687,Folk,2007,18,61,-0.51,58,0.25,0.56,0.15
Track 56219,Ava & The Ocean,107011310,2617779,Indie,2013,34,18,0.65,33,0.27,0.49,0.53
Track 74644,Crimson Echo,142439061,1783051,Lo-Fi,2001,51,81,-0.81,67,0.2,0.52,0.55
Track 75044,Celestial Harmony,708224187,4217549,Latin,2015,37,83,0.85,54,0.76,0.0,0.34
Track 19289,Bass Surge,768249347,1283411,Pop,2004,27,41,0.55,10,0.38,0.25,0.52
Track 77408,Crimson Echo,451123048,546622,Reggae,2006,76,28,-0.82,59,0.66,0.51,0.81
Track 79844,Crimson Echo,622241805,2086154,Blues,2016,82,96,0.25,24,0.74,0.82,0.12
Track 29124,Retro Resonance,353749348,1129602,Blues,2001,91,2,0.86,17,0.57,0.7,0.13
Track 2013,DJ Thunder,717446254,246855,Drum & Bass,1991,60,78,-0.23,98,0.54,0.39,0.6
Track 99299,EchoSync,559044513,3754720,Electronic,1992,52,69,0.72,46,0.97,0.28,0.21
Track 81938,Liam Harper,175528395,2187325,Punk,2018,65,95,-0.15,96,0.62,0.45,0.63
Track 47084,Neon Vortex,220106083,4042846,Punk,1991,9,89,-0.52,16,0.65,0.86,0.58
Track 2549,The Midnight Howl,181832422,4718665,Lo-Fi,2017,32,100,-0.74,40,0.55,0.89,0.97
Track 73303,Bass Surge,275570716,384583,Hip-Hop,2009,19,96,0.32,68,0.5,0.35,1.0
Track 2088,Shadow Beats,427751385,3111707,Punk,1991,7,28,0.22,37,0.25,0.67,0.67
Track 99367,Crimson Echo,455890471,2207545,Drum & Bass,2023,77,78,-0.17,1,0.51,0.66,0.89
Track 46690,Retro Resonance,426339518,3706498,Trap,1996,74,74,-0.05,41,0.9,0.88,0.96
Track 7548,EchoSync,579978456,4681728,Country,2025,98,23,-0.92,82,0.8,0.55,0.44
Track 97434,Luna Nova,706611245,2977809,R&B,1992,21,26,0.87,57,0.46,0.79,0.69
Track 40821,Samantha Lee,505992884,4588573,Drum & Bass,2009,89,10,-0.73,19,0.87,0.45,0.12
Track 93573,DJ Thunder,107936294,828898,R&B,1995,81,22,0.52,80,0.82,0.94,0.98
Track 6737,Retro Resonance,713792063,4777497,Country,2004,53,50,-0.99,7,0.8,0.97,0.62
Track 97558,Urban Rhapsody,502440014,2208700,Trap,2018,54,17,0.02,63,0.51,0.46,0.38
Track 24320,Firefly Symphony,540881590,3255273,Country,2007,88,23,-0.62,40,0.69,0.69,0.34
Track 43601,Urban Rhapsody,504741326,2833957,Metal,1995,18,21,0.04,0,0.49,0.16,0.72
Track 83925,Celestial Harmony,5048553,1251144,R&B,2004,44,44,-0.1,96,0.65,0.97,0.17
Track 26413,Retro Resonance,310929612,232466,Rock,2006,13,53,-0.89,55,0.4,0.01,0.88
Track 41327,Luna Nova,566244026,372171,Trap,1994,74,20,0.26,39,0.27,0.69,0.79
Track 60878,Samantha Lee,317581906,2403023,Rock,1995,12,17,0.76,14,0.65,0.23,0.17
Track 52894,ElectroPulse,479538169,2555515,Drum & Bass,2009,22,72,0.97,29,0.19,0.91,0.86
Track 39057,Sofia Carter,519857108,3005306,House,2004,55,92,0.7,60,0.47,0.23,0.3
